 # Adrien Atallah
 # Project 5
 # Contains time vs. location for planet 1 and planet 2 plus the energy of the system
 # t, x1, y1, x2, y2, Energy
   15600000.     -1.22480704E+08 -3.74079584E+08  8.40405893E+10  1.39999396E+11  6.92275315E+26
   15650000.      -74122208.     -3.86725152E+08  8.39894303E+10  1.39999379E+11  6.92270223E+26
   15700000.      -24556058.     -3.93070496E+08  8.39382712E+10  1.39999363E+11  6.92264394E+26
   15750000.       25409956.     -3.93015744E+08  8.38871122E+10  1.39999347E+11  6.92261074E+26
   15800000.       74962192.     -3.86561760E+08  8.38359532E+10  1.39999330E+11  6.92256499E+26
   15850000.      1.23293080E+08 -3.73810144E+08  8.37847941E+10  1.39999314E+11  6.92250670E+26
   15900000.      1.69612944E+08 -3.54961952E+08  8.37336351E+10  1.39999298E+11  6.92244324E+26
   15950000.      2.13161776E+08 -3.30315232E+08  8.36824760E+10  1.39999281E+11  6.92231411E+26
   16000000.      2.53220688E+08 -3.00261120E+08  8.36313170E+10  1.39999265E+11  6.92231264E+26
   16050000.      2.89123040E+08 -2.65278912E+08  8.35801580E+10  1.39999248E+11  6.92223442E+26
   16100000.      3.20265152E+08 -2.25929648E+08  8.35289989E+10  1.39999232E+11  6.92215400E+26
   16150000.      3.46116288E+08 -1.82848496E+08  8.34778399E+10  1.39999216E+11  6.92211489E+26
   16200000.      3.66227968E+08 -1.36735904E+08  8.34266808E+10  1.39999199E+11  6.92204110E+26
   16250000.      3.80242368E+08  -88347424.      8.33755218E+10  1.39999183E+11  6.92191345E+26
   16300000.      3.87899488E+08  -38482488.      8.33243628E+10  1.39999166E+11  6.92187434E+26
   16350000.      3.89043104E+08   12028006.      8.32732037E+10  1.39999150E+11  6.92181015E+26
   16400000.      3.83625184E+08   62335004.      8.32220447E+10  1.39999134E+11  6.92175112E+26
   16450000.      3.71708672E+08  1.11585408E+08  8.31708856E+10  1.39999117E+11  6.92166405E+26
   16500000.      3.53468256E+08  1.58936752E+08  8.31197266E+10  1.39999101E+11  6.92160797E+26
   16550000.      3.29189280E+08  2.03572224E+08  8.30685676E+10  1.39999085E+11  6.92159469E+26
   16600000.      2.99264480E+08  2.44715648E+08  8.30174085E+10  1.39999068E+11  6.92160650E+26
   16650000.      2.64188528E+08  2.81646208E+08  8.29662495E+10  1.39999052E+11  6.92155042E+26
   16700000.      2.24550400E+08  3.13712448E+08  8.29150904E+10  1.39999035E+11  6.92149655E+26
   16750000.      1.81023648E+08  3.40345344E+08  8.28639314E+10  1.39999019E+11  6.92143457E+26
   16800000.      1.34354672E+08  3.61069824E+08  8.28127724E+10  1.39999003E+11  6.92141613E+26
   16850000.       85349304.      3.75514720E+08  8.27616133E+10  1.39998986E+11  6.92132684E+26
   16900000.       34857844.      3.83420480E+08  8.27104543E+10  1.39998970E+11  6.92119919E+26
   16950000.      -16240980.      3.84644832E+08  8.26592952E+10  1.39998953E+11  6.92111360E+26
   17000000.      -67056784.      3.79165664E+08  8.26081362E+10  1.39998937E+11  6.92107154E+26
   17050000.     -1.16704616E+08  3.67081664E+08  8.25569772E+10  1.39998921E+11  6.92103317E+26
   17100000.     -1.64321872E+08  3.48610080E+08  8.25058181E+10  1.39998904E+11  6.92093430E+26
   17150000.     -2.09084704E+08  3.24082144E+08  8.24546591E+10  1.39998888E+11  6.92089224E+26
   17200000.     -2.50223360E+08  2.93936064E+08  8.24035000E+10  1.39998872E+11  6.92084870E+26
   17250000.     -2.87036224E+08  2.58707856E+08  8.23523410E+10  1.39998855E+11  6.92075057E+26
   17300000.     -3.18902240E+08  2.19020352E+08  8.23011820E+10  1.39998839E+11  6.92068121E+26
   17350000.     -3.45291296E+08  1.75570672E+08  8.22500229E+10  1.39998822E+11  6.92060594E+26
   17400000.     -3.65772704E+08  1.29116488E+08  8.21988639E+10  1.39998806E+11  6.92050928E+26
   17450000.     -3.80021472E+08   80461552.      8.21477048E+10  1.39998790E+11  6.92042517E+26
   17500000.     -3.87822240E+08   30440762.      8.20965458E+10  1.39998773E+11  6.92036023E+26
   17550000.     -3.89071360E+08  -20094908.      8.20453868E+10  1.39998757E+11  6.92026652E+26
   17600000.     -3.83776608E+08  -70293224.      8.19942277E+10  1.39998740E+11  6.92022668E+26
   17650000.     -3.72055168E+08 -1.19315040E+08  8.19430687E+10  1.39998724E+11  6.92019790E+26
   17700000.     -3.54129824E+08 -1.66347936E+08  8.18919096E+10  1.39998708E+11  6.92011305E+26
   17750000.     -3.30323552E+08 -2.10618944E+08  8.18407506E+10  1.39998691E+11  6.92009755E+26
   17800000.     -3.01052704E+08 -2.51406272E+08  8.17895916E+10  1.39998675E+11  6.92003041E+26
   17850000.     -2.66819072E+08 -2.88049824E+08  8.17384325E+10  1.39998659E+11  6.91994703E+26
   17900000.     -2.28200912E+08 -3.19960576E+08  8.16872735E+10  1.39998642E+11  6.91992342E+26
   17950000.     -1.85843152E+08 -3.46628640E+08  8.16361144E+10  1.39998626E+11  6.91987840E+26
   18000000.     -1.40446944E+08 -3.67630080E+08  8.15849554E+10  1.39998609E+11  6.91980167E+26
   18050000.      -92758640.     -3.82632384E+08  8.15337964E+10  1.39998593E+11  6.91972936E+26
   18100000.      -43558484.     -3.91398816E+08  8.14826373E+10  1.39998577E+11  6.91966959E+26
   18150000.       6351082.0     -3.93791328E+08  8.14314783E+10  1.39998560E+11  6.91958326E+26
   18200000.       56157232.     -3.89772288E+08  8.13803192E+10  1.39998544E+11  6.91947184E+26
   18250000.      1.05048648E+08 -3.79404960E+08  8.13291602E+10  1.39998527E+11  6.91942093E+26
   18300000.      1.52227424E+08 -3.62852672E+08  8.12780012E+10  1.39998511E+11  6.91938403E+26
   18350000.      1.96920848E+08 -3.40376832E+08  8.12268421E+10  1.39998495E+11  6.91936632E+26
   18400000.      2.38392992E+08 -3.12333632E+08  8.11756831E+10  1.39998478E+11  6.91930434E+26
   18450000.      2.75956000E+08 -2.79169408E+08  8.11245240E+10  1.39998462E+11  6.91927040E+26
   18500000.      3.08980896E+08 -2.41414864E+08  8.10733650E+10  1.39998446E+11  6.91924236E+26
   18550000.      3.36908000E+08 -1.99677888E+08  8.10222060E+10  1.39998429E+11  6.91918997E+26
   18600000.      3.59256416E+08 -1.54635168E+08  8.09710469E+10  1.39998413E+11  6.91909184E+26
   18650000.      3.75632800E+08 -1.07022512E+08  8.09198879E+10  1.39998396E+11  6.91903428E+26
   18700000.      3.85739040E+08  -57624040.      8.08687288E+10  1.39998380E+11  6.91895312E+26
   18750000.      3.89378752E+08  -7260183.0      8.08175698E+10  1.39998364E+11  6.91886383E+26
   18800000.      3.86462208E+08   43225288.      8.07664108E+10  1.39998347E+11  6.91883579E+26
   18850000.      3.77009792E+08   92979088.      8.07152517E+10  1.39998331E+11  6.91875242E+26
   18900000.      3.61153632E+08  1.41152944E+08  8.06640927E+10  1.39998314E+11  6.91866904E+26
   18950000.      3.39137120E+08  1.86918448E+08  8.06129336E+10  1.39998298E+11  6.91866092E+26
   19000000.      3.11312576E+08  2.29482144E+08  8.05617746E+10  1.39998282E+11  6.91857754E+26
   19050000.      2.78136576E+08  2.68100400E+08  8.05106156E+10  1.39998265E+11  6.91850671E+26
   19100000.      2.40163184E+08  3.02093696E+08  8.04594565E+10  1.39998249E+11  6.91841152E+26
   19150000.      1.98034976E+08  3.30860128E+08  8.04082975E+10  1.39998233E+11  6.91836651E+26
   19200000.      1.52472096E+08  3.53887520E+08  8.03571384E+10  1.39998216E+11  6.91825066E+26
   19250000.      1.04259392E+08  3.70764000E+08  8.03059794E+10  1.39998200E+11  6.91823000E+26
   19300000.       54232068.      3.81186688E+08  8.02548204E+10  1.39998183E+11  6.91813261E+26
   19350000.       3259970.5      3.84968064E+08  8.02036613E+10  1.39998167E+11  6.91806251E+26
   19400000.      -47768932.      3.82040032E+08  8.01525023E+10  1.39998151E+11  6.91793855E+26
   19450000.      -97965584.      3.72455296E+08  8.01013432E+10  1.39998134E+11  6.91789649E+26
   19500000.     -1.46456880E+08  3.56386304E+08  8.00501842E+10  1.39998118E+11  6.91784631E+26
   19550000.     -1.92402288E+08  3.34121536E+08  7.99990252E+10  1.39998102E+11  6.91783820E+26
   19600000.     -2.35009680E+08  3.06059392E+08  7.99478661E+10  1.39998085E+11  6.91776293E+26
   19650000.     -2.73549888E+08  2.72699808E+08  7.98967071E+10  1.39998069E+11  6.91768324E+26
   19700000.     -3.07369792E+08  2.34633920E+08  7.98455480E+10  1.39998052E+11  6.91765520E+26
   19750000.     -3.35903456E+08  1.92532080E+08  7.97943890E+10  1.39998036E+11  6.91757994E+26
   19800000.     -3.58681440E+08  1.47130576E+08  7.97432300E+10  1.39998020E+11  6.91747295E+26
   19850000.     -3.75337856E+08   99217376.      7.96920709E+10  1.39998003E+11  6.91734677E+26
   19900000.     -3.85615168E+08   49617280.      7.96409119E+10  1.39997987E+11  6.91729586E+26
   19950000.     -3.89367040E+08  -823079.50      7.95897528E+10  1.39997970E+11  6.91724347E+26
   20000000.     -3.86558912E+08  -51250196.      7.95385938E+10  1.39997954E+11  6.91710992E+26
   20050000.     -3.77266656E+08 -1.00818264E+08  7.94874348E+10  1.39997938E+11  6.91703539E+26
   20100000.     -3.61673344E+08 -1.48703088E+08  7.94362757E+10  1.39997921E+11  6.91697931E+26
   20150000.     -3.40064480E+08 -1.94115216E+08  7.93851167E+10  1.39997905E+11  6.91692914E+26
   20200000.     -3.12821696E+08 -2.36312016E+08  7.93339576E+10  1.39997889E+11  6.91690405E+26
   20250000.     -2.80415264E+08 -2.74608704E+08  7.92827986E+10  1.39997872E+11  6.91682067E+26
   20300000.     -2.43395424E+08 -3.08388096E+08  7.92316396E+10  1.39997856E+11  6.91676755E+26
   20350000.     -2.02382912E+08 -3.37109280E+08  7.91804805E+10  1.39997839E+11  6.91671221E+26
   20400000.     -1.58058720E+08 -3.60314784E+08  7.91293215E+10  1.39997823E+11  6.91662883E+26
   20450000.     -1.11153336E+08 -3.77636736E+08  7.90781624E+10  1.39997807E+11  6.91657718E+26
   20500000.      -62435456.     -3.88801440E+08  7.90270034E+10  1.39997790E+11  6.91654102E+26
   20550000.      -12700473.     -3.93632960E+08  7.89758444E+10  1.39997774E+11  6.91653807E+26
   20600000.       37241316.     -3.92055264E+08  7.89246853E+10  1.39997757E+11  6.91646133E+26
   20650000.       86576600.     -3.84093184E+08  7.88735263E+10  1.39997741E+11  6.91641263E+26
   20700000.      1.34500944E+08 -3.69872128E+08  7.88223672E+10  1.39997725E+11  6.91633442E+26
   20750000.      1.80230624E+08 -3.49616448E+08  7.87712082E+10  1.39997708E+11  6.91632113E+26
   20800000.      2.23014336E+08 -3.23646688E+08  7.87200492E+10  1.39997692E+11  6.91628793E+26
   20850000.      2.62144576E+08 -2.92375488E+08  7.86688901E+10  1.39997676E+11  6.91623407E+26
   20900000.      2.96968704E+08 -2.56302176E+08  7.86177311E+10  1.39997659E+11  6.91621414E+26
   20950000.      3.26899424E+08 -2.16006176E+08  7.85665720E+10  1.39997643E+11  6.91613888E+26
   21000000.      3.51424736E+08 -1.72139040E+08  7.85154130E+10  1.39997626E+11  6.91613519E+26
   21050000.      3.70116960E+08 -1.25415288E+08  7.84642540E+10  1.39997610E+11  6.91606731E+26
   21100000.      3.82640864E+08  -76602008.      7.84130949E+10  1.39997594E+11  6.91601344E+26
   21150000.      3.88760640E+08  -26507296.      7.83619359E+10  1.39997577E+11  6.91591531E+26
   21200000.      3.88345440E+08   24032368.      7.83107768E+10  1.39997561E+11  6.91588358E+26
   21250000.      3.81373408E+08   74165632.      7.82596178E+10  1.39997544E+11  6.91583414E+26
   21300000.      3.67934048E+08  1.23040552E+08  7.82084588E+10  1.39997528E+11  6.91574191E+26
   21350000.      3.48228512E+08  1.69819376E+08  7.81572997E+10  1.39997512E+11  6.91572272E+26
   21400000.      3.22568096E+08  2.13693536E+08  7.81061407E+10  1.39997495E+11  6.91561426E+26
   21450000.      2.91370336E+08  2.53898704E+08  7.80549816E+10  1.39997479E+11  6.91557736E+26
   21500000.      2.55153120E+08  2.89729280E+08  7.80038226E+10  1.39997463E+11  6.91553604E+26
   21550000.      2.14526496E+08  3.20552256E+08  7.79526636E+10  1.39997446E+11  6.91553235E+26
   21600000.      1.70182480E+08  3.45819936E+08  7.79015045E+10  1.39997430E+11  6.91549915E+26
   21650000.      1.22882912E+08  3.65081088E+08  7.78503455E+10  1.39997413E+11  6.91543717E+26
   21700000.       73445624.      3.77990464E+08  7.77991864E+10  1.39997397E+11  6.91536928E+26
   21750000.       22729188.      3.84315968E+08  7.77480274E+10  1.39997381E+11  6.91529697E+26
   21800000.      -28383326.      3.83943712E+08  7.76968684E+10  1.39997364E+11  6.91523499E+26
   21850000.      -79001240.      3.76880352E+08  7.76457093E+10  1.39997348E+11  6.91518334E+26
   21900000.     -1.28243368E+08  3.63253056E+08  7.75945503E+10  1.39997331E+11  6.91507782E+26
   21950000.     -1.75254832E+08  3.43306720E+08  7.75433912E+10  1.39997315E+11  6.91495608E+26
   22000000.     -2.19223264E+08  3.17398752E+08  7.74922322E+10  1.39997299E+11  6.91490959E+26
   22050000.     -2.59393888E+08  2.85991520E+08  7.74410732E+10  1.39997282E+11  6.91481145E+26
   22100000.     -2.95083168E+08  2.49642784E+08  7.73899141E+10  1.39997266E+11  6.91476866E+26
   22150000.     -3.25690752E+08  2.08994256E+08  7.73387551E+10  1.39997250E+11  6.91471479E+26
   22200000.     -3.50709504E+08  1.64758752E+08  7.72875960E+10  1.39997233E+11  6.91465429E+26
   22250000.     -3.69733376E+08  1.17706280E+08  7.72364370E+10  1.39997217E+11  6.91460337E+26
   22300000.     -3.82463136E+08   68649416.      7.71852780E+10  1.39997200E+11  6.91450893E+26
   22350000.     -3.88709920E+08   18428270.      7.71341189E+10  1.39997184E+11  6.91443957E+26
   22400000.     -3.88396640E+08  -32104506.      7.70829599E+10  1.39997168E+11  6.91436357E+26
   22450000.     -3.81557408E+08  -82098472.      7.70318008E+10  1.39997151E+11  6.91430749E+26
   22500000.     -3.68334944E+08 -1.30719600E+08  7.69806418E+10  1.39997135E+11  6.91428978E+26
   22550000.     -3.48976416E+08 -1.77163696E+08  7.69294828E+10  1.39997118E+11  6.91424256E+26
   22600000.     -3.23827744E+08 -2.20668928E+08  7.68783237E+10  1.39997102E+11  6.91411786E+26
   22650000.     -2.93326368E+08 -2.60527248E+08  7.68271647E+10  1.39997086E+11  6.91406547E+26
   22700000.     -2.57993200E+08 -2.96094656E+08  7.67760056E+10  1.39997069E+11  6.91400496E+26
   22750000.     -2.18423296E+08 -3.26800224E+08  7.67248466E+10  1.39997053E+11  6.91399758E+26
   22800000.     -1.75275984E+08 -3.52153952E+08  7.66736876E+10  1.39997037E+11  6.91393560E+26
   22850000.     -1.29264232E+08 -3.71753216E+08  7.66225285E+10  1.39997020E+11  6.91384780E+26
   22900000.      -81143552.     -3.85287968E+08  7.65713695E+10  1.39997004E+11  6.91381238E+26
   22950000.      -31700578.     -3.92544736E+08  7.65202104E+10  1.39996987E+11  6.91375187E+26
   23000000.       18258658.     -3.93409280E+08  7.64690514E+10  1.39996971E+11  6.91371277E+26
   23050000.       67920560.     -3.87868000E+08  7.64178924E+10  1.39996955E+11  6.91371277E+26
   23100000.      1.16475896E+08 -3.76008128E+08  7.63667333E+10  1.39996938E+11  6.91367218E+26
   23150000.      1.63131648E+08 -3.58016640E+08  7.63155743E+10  1.39996922E+11  6.91354379E+26
   23200000.      2.07122800E+08 -3.34177920E+08  7.62644152E+10  1.39996905E+11  6.91349436E+26
   23250000.      2.47723840E+08 -3.04870080E+08  7.62132562E+10  1.39996889E+11  6.91343902E+26
   23300000.      2.84259968E+08 -2.70560224E+08  7.61620972E+10  1.39996873E+11  6.91334604E+26
   23350000.      3.16117792E+08 -2.31798128E+08  7.61109381E+10  1.39996856E+11  6.91336228E+26
   23400000.      3.42755520E+08 -1.89208944E+08  7.60597791E+10  1.39996840E+11  6.91330620E+26
   23450000.      3.63712384E+08 -1.43484400E+08  7.60086200E+10  1.39996824E+11  6.91324865E+26
   23500000.      3.78617056E+08  -95372896.      7.59574610E+10  1.39996807E+11  6.91319257E+26
   23550000.      3.87195168E+08  -45668368.      7.59063020E+10  1.39996791E+11  6.91311509E+26
   23600000.      3.89275360E+08   4801940.0      7.58551429E+10  1.39996774E+11  6.91301179E+26
   23650000.      3.84793920E+08   55190672.      7.58039839E+10  1.39996758E+11  6.91299703E+26
   23700000.      3.73797856E+08  1.04644376E+08  7.57528248E+10  1.39996742E+11  6.91289816E+26
   23750000.      3.56445888E+08  1.52318112E+08  7.57016658E+10  1.39996725E+11  6.91288709E+26
